video_id,channel_title,video_publish_date,video_title,video_view_count,video_comment_count,video_like_count,video_dislike_count
2HcqS508lIo,Real Engineering,2017-10-13 12:30:00+00:00,The US Military's Most Powerful Gun,3717293,3183,65937,
4xbFVdoRzLQ,Real Engineering,2017-09-29 12:30:00+00:00,How To Stop A North Korean Nuclear Missile,1078919,1500,27682,
_X5VHl0eMTk,Real Engineering,2017-09-25 10:14:19+00:00,Area Rule: How To Make Planes Fly Faster,498789,990,14614,
A00QWVHem3A,Real Engineering,2017-09-08 12:30:00+00:00,Why North Korea Can't Build An ICBM (yet),1891586,2749,37250,
dIjRZ8aNy4I,Real Engineering,2017-08-21 12:30:00+00:00,Why 2017 is the Fastest Year in Formula 1 History,1700906,1991,33735,
ahxBbEwhIE0,Real Engineering,2017-08-08 12:30:31+00:00,How Many Batteries Could Power The World? (ft. MinutePhysics),591133,1389,15858,
AQdrbepn3pE,Real Engineering,2017-07-19 12:15:53+00:00,Are There Parts of German WW1 Warships in Space?,604458,512,14067,
ozAPGnr-934,Real Engineering,2017-06-19 11:00:07+00:00,Why The US Military Made GPS Free-To-Use,4670336,5938,107829,
HUgV8_meyo8,Real Engineering,2017-05-27 12:30:01+00:00,How Russia Stopped The Blitzkrieg,7495909,14254,134954,
R43gKMWAPco,Real Engineering,2017-05-15 11:00:02+00:00,Boom: The Future of Supersonic Flight?,1477131,1489,29992,
MI08NGCgISE,Real Engineering,2017-04-29 12:30:09+00:00,The Physics of World War 1 Planes feat. The Great War Channel,1772952,1222,40198,
H7Z04Tl1-1Q,Real Engineering,2017-03-31 13:22:30+00:00,The Future of Airliners? - Aurora D8,3004188,2815,52377,
xRbOiNNy030,Real Engineering,2017-03-21 14:38:02+00:00,What's The Biggest Machine In The World?,1471927,1887,32700,
aKpDyfJnxQQ,Real Engineering,2017-02-27 13:03:45+00:00,Carbon Fiber - The Material Of The Future?,1433769,934,35414,
7-I20Ru9BwM,Real Engineering,2017-02-02 13:32:01+00:00,Why Are The Dreamliner's Windows So Big?,1442982,1296,29961,
4NG3qZHx1jM,Real Engineering,2017-01-16 15:21:41+00:00,The Greatest Innovations In Formula One,3335431,2374,57996,
7E__zqy6xcw,Real Engineering,2016-12-21 16:59:14+00:00,The History of Iron and Steel,1473986,1194,41365,
zSz0kV0BPDY,Real Engineering,2016-12-08 12:52:49+00:00,Why Are I-Beams Shaped Like An I?,1056677,1060,26995,
